"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H1,H2,H3";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;
2;"C3,C2,C1,C4";"C_0603_1608Metric";4;"1µF";;;
3;"C7,C8,C20,C13,C22,C11,C10,C16,C14,C6,C9,C19,C12";"C_0201_0603Metric";13;"0.1µF";;;
4;"R5,R6";"R_0603_1608Metric";2;"27";;;
5;"R9";"R_0402_1005Metric";1;"2k";;;
6;"J2";"PinHeader_1x05_P1.00mm_Vertical";1;"Rotary encoder";;;
7;"C5,C15";"C_0201_0603Metric";2;"1µF";;;
8;"R11,R10";"R_0603_1608Metric";2;"330";;;
9;"D1,D2";"PinHeader_1x02_P1.00mm_Vertical";2;"LED";;;
10;"R14,R15";"R_0603_1608Metric";2;"5.1k";;;
11;"R7,R1,R2";"R_0402_1005Metric";3;"10k";;;
12;"C17,C18";"C_0201_0603Metric";2;"6pF";;;
13;"J1";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"9V in";;;
14;"U5";"TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm";1;"MAX31865xTP";;;
15;"J3";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"RTD connector";;;
16;"U4";"SON127P610X510X80-8N430X340";1;"W25Q128JVPIQ";;;
17;"LCD1";"PinHeader_1x16_P1.00mm_Vertical";1;"MC10811A6W";;;
18;"R12";"R_0805_2012Metric";1;"1.5k";;;
19;"P1";"USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles";1;"USB_C_Plug_USB2.0";;;
20;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
21;"SW1";"PinHeader_1x02_P1.00mm_Vertical";1;"SW_DIP_x01";;;
22;"U2";"SON65P200X200X80-7N";1;"TPS7A2633DRVR";;;
23;"R8";"R_0402_1005Metric";1;"1k";;;
24;"J4";"PinHeader_1x03_P1.00mm_Vertical";1;"Debug";;;
25;"U3";"SON65P200X200X80-7N";1;"TPS7A2650DRVR";;;
26;"C21";"C_0402_1005Metric";1;"10nF";;;
27;"RV1";"Potentiometer_Bourns_TC33X_Vertical";1;"20k";;;
28;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
